Project Name,Package Name,Type Name,Code Smell
chatgpt-java,com.plexpt.chatgpt,Audio,Unutilized Abstraction
chatgpt-java,com.plexpt.chatgpt,ConsoleChatGPT,Deficient Encapsulation
chatgpt-java,com.plexpt.chatgpt,Test,Unutilized Abstraction
chatgpt-java,com.plexpt.chatgpt,EmbeddingTest,Unutilized Abstraction
chatgpt-java,com.plexpt.chatgpt,FunctionCallTest,Unutilized Abstraction
chatgpt-java,com.plexpt.chatgpt,StreamTest,Unutilized Abstraction
chatgpt-java,com.plexpt.chatgpt,Test,Unutilized Abstraction
chatgpt-java,com.plexpt.chatgpt.entity.audio,AudioResponse,Unnecessary Abstraction
chatgpt-java,com.plexpt.chatgpt.entity.audio,AudioResponse,Unutilized Abstraction
chatgpt-java,com.plexpt.chatgpt.entity,BaseResponse,Broken Modularization
chatgpt-java,com.plexpt.chatgpt.entity,Error,Unnecessary Abstraction
chatgpt-java,com.plexpt.chatgpt.entity.billing,CreditGrantsResponse,Unnecessary Abstraction
chatgpt-java,com.plexpt.chatgpt.entity.billing,CreditGrantsResponse,Unutilized Abstraction
chatgpt-java,com.plexpt.chatgpt.entity.billing,CreditGrantsResponse,Broken Modularization
chatgpt-java,com.plexpt.chatgpt.entity.billing,Datum,Unutilized Abstraction
chatgpt-java,com.plexpt.chatgpt.entity.billing,Datum,Broken Modularization
chatgpt-java,com.plexpt.chatgpt.entity.billing,Grants,Unnecessary Abstraction
chatgpt-java,com.plexpt.chatgpt.entity.billing,SubscriptionData,Unnecessary Abstraction
chatgpt-java,com.plexpt.chatgpt.entity.billing,Usage,Unnecessary Abstraction
chatgpt-java,com.plexpt.chatgpt.entity.billing,UseageResponse,Unnecessary Abstraction
chatgpt-java,com.plexpt.chatgpt.entity.chat,ChatChoice,Unnecessary Abstraction
chatgpt-java,com.plexpt.chatgpt.entity.chat,ChatCompletion,Cyclic-Dependent Modularization
chatgpt-java,com.plexpt.chatgpt.entity.chat,ChatCompletionResponse,Broken Modularization
chatgpt-java,com.plexpt.chatgpt.entity.chat,ChatFunction,Broken Modularization
chatgpt-java,com.plexpt.chatgpt.entity.chat,ChatParameter,Unnecessary Abstraction
chatgpt-java,com.plexpt.chatgpt.entity.chat,ChatTool,Unnecessary Abstraction
chatgpt-java,com.plexpt.chatgpt.entity.chat,ChatTool,Unutilized Abstraction
chatgpt-java,com.plexpt.chatgpt.entity.chat,ChatToolFunction,Broken Modularization
chatgpt-java,com.plexpt.chatgpt.entity.chat,ChatParameter,Unnecessary Abstraction
chatgpt-java,com.plexpt.chatgpt.entity.chat,ChatParameter,Unutilized Abstraction
chatgpt-java,com.plexpt.chatgpt.entity.chat,FunctionCallResult,Unnecessary Abstraction
chatgpt-java,com.plexpt.chatgpt.entity.chat,ResponseFormat,Unnecessary Abstraction
chatgpt-java,com.plexpt.chatgpt.entity.chat,ResponseFormat,Deficient Encapsulation
chatgpt-java,com.plexpt.chatgpt.entity.chat,ToolCallResult,Unnecessary Abstraction
chatgpt-java,com.plexpt.chatgpt.entity.chat,ToolCallResult,Unutilized Abstraction
chatgpt-java,com.plexpt.chatgpt.entity.embedding,EmbeddingData,Unnecessary Abstraction
chatgpt-java,com.plexpt.chatgpt.entity.embedding,EmbeddingData,Unutilized Abstraction
chatgpt-java,com.plexpt.chatgpt.entity.embedding,EmbeddingRequest,Unnecessary Abstraction
chatgpt-java,com.plexpt.chatgpt.entity.embedding,EmbeddingResult,Unnecessary Abstraction
chatgpt-java,com.plexpt.chatgpt.entity.images,ImagesRensponse,Unnecessary Abstraction
chatgpt-java,com.plexpt.chatgpt.exception,ChatException,Unutilized Abstraction
chatgpt-java,com.plexpt.chatgpt.listener,AbstractStreamListener,Unutilized Abstraction
chatgpt-java,com.plexpt.chatgpt.listener,ConsoleStreamListener,Unutilized Abstraction
chatgpt-java,com.plexpt.chatgpt.listener,SseStreamListener,Unutilized Abstraction
chatgpt-java,com.plexpt.chatgpt.util,FormatDateUtil,Unutilized Abstraction
chatgpt-java,com.plexpt.chatgpt.util,TokensUtil,Cyclic-Dependent Modularization
