Project Name,Package Name,Type Name,Method Name,Code Smell
chatgpt-java,com.plexpt.chatgpt,Audio,init,Long Statement
chatgpt-java,com.plexpt.chatgpt,Audio,init,Long Statement
chatgpt-java,com.plexpt.chatgpt,ChatGPT,init,Long Statement
chatgpt-java,com.plexpt.chatgpt,ChatGPT,init,Long Statement
chatgpt-java,com.plexpt.chatgpt,ChatGPT,balance,Magic Number
chatgpt-java,com.plexpt.chatgpt,ChatGPT,balance,Magic Number
chatgpt-java,com.plexpt.chatgpt,ChatGPTStream,streamChatCompletion,Long Statement
chatgpt-java,com.plexpt.chatgpt,Embedding,init,Long Statement
chatgpt-java,com.plexpt.chatgpt,Embedding,init,Long Statement
chatgpt-java,com.plexpt.chatgpt,Embedding,createEmbeddings,Long Statement
chatgpt-java,com.plexpt.chatgpt,Images,init,Long Statement
chatgpt-java,com.plexpt.chatgpt,Images,init,Long Statement
chatgpt-java,com.plexpt.chatgpt,Test,main,Long Statement
chatgpt-java,com.plexpt.chatgpt,Test,main,Magic Number
chatgpt-java,com.plexpt.chatgpt,Test,main,Magic Number
chatgpt-java,com.plexpt.chatgpt,EmbeddingTest,before,Long Statement
chatgpt-java,com.plexpt.chatgpt,EmbeddingTest,before,Magic Number
chatgpt-java,com.plexpt.chatgpt,FunctionCallTest,before,Long Statement
chatgpt-java,com.plexpt.chatgpt,FunctionCallTest,before,Magic Number
chatgpt-java,com.plexpt.chatgpt,FunctionCallTest,before,Magic Number
chatgpt-java,com.plexpt.chatgpt,FunctionCallTest,chat,Long Statement
chatgpt-java,com.plexpt.chatgpt,FunctionCallTest,chat,Long Statement
chatgpt-java,com.plexpt.chatgpt,FunctionCallTest,chat,Magic Number
chatgpt-java,com.plexpt.chatgpt,FunctionCallTest,chat,Magic Number
chatgpt-java,com.plexpt.chatgpt,FunctionCallTest,callWithWeather,Long Statement
chatgpt-java,com.plexpt.chatgpt,FunctionCallTest,callWithWeather,Magic Number
chatgpt-java,com.plexpt.chatgpt,FunctionCallTest,callWithWeather,Magic Number
chatgpt-java,com.plexpt.chatgpt,StreamTest,before,Long Statement
chatgpt-java,com.plexpt.chatgpt,StreamTest,before,Magic Number
chatgpt-java,com.plexpt.chatgpt,StreamTest,before,Magic Number
chatgpt-java,com.plexpt.chatgpt,Test,before,Long Statement
chatgpt-java,com.plexpt.chatgpt,Test,before,Magic Number
chatgpt-java,com.plexpt.chatgpt,Test,before,Magic Number
chatgpt-java,com.plexpt.chatgpt,Test,chat,Long Statement
chatgpt-java,com.plexpt.chatgpt,Test,chat,Magic Number
chatgpt-java,com.plexpt.chatgpt,Test,chat,Magic Number
chatgpt-java,com.plexpt.chatgpt,Test,tokens,Long Statement
chatgpt-java,com.plexpt.chatgpt,Test,tokens,Long Statement
chatgpt-java,com.plexpt.chatgpt,Test,tokens,Magic Number
chatgpt-java,com.plexpt.chatgpt,Test,tokens,Magic Number
chatgpt-java,com.plexpt.chatgpt,Test,tokens,Magic Number
chatgpt-java,com.plexpt.chatgpt,Test,tokens,Magic Number
chatgpt-java,com.plexpt.chatgpt.util,SseHelper,complete,Empty catch clause
chatgpt-java,com.plexpt.chatgpt.util,SseHelper,send,Empty catch clause
chatgpt-java,com.plexpt.chatgpt.util,TokensUtil,tokens,Magic Number
chatgpt-java,com.plexpt.chatgpt.util,TokensUtil,tokens,Magic Number
chatgpt-java,com.plexpt.chatgpt.util,TokensUtil,tokens,Magic Number
