Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
chatgpt-java,com.plexpt.chatgpt.api,Api,chatCompletion,0,1,1
chatgpt-java,com.plexpt.chatgpt.api,Api,imageGenerations,0,1,1
chatgpt-java,com.plexpt.chatgpt.api,Api,imageEdits,0,1,3
chatgpt-java,com.plexpt.chatgpt.api,Api,imageVariations,0,1,2
chatgpt-java,com.plexpt.chatgpt.api,Api,audioTranscriptions,0,1,2
chatgpt-java,com.plexpt.chatgpt.api,Api,audioTranslations,0,1,2
chatgpt-java,com.plexpt.chatgpt.api,Api,creditGrants,0,1,0
chatgpt-java,com.plexpt.chatgpt.api,Api,subscription,0,1,0
chatgpt-java,com.plexpt.chatgpt.api,Api,usage,0,1,2
chatgpt-java,com.plexpt.chatgpt.api,Api,createEmbeddings,0,1,1
chatgpt-java,com.plexpt.chatgpt,Audio,init,38,5,0
chatgpt-java,com.plexpt.chatgpt,Audio,transcriptions,6,1,2
chatgpt-java,com.plexpt.chatgpt,Audio,translations,6,1,2
chatgpt-java,com.plexpt.chatgpt,ChatGPT,init,38,5,0
chatgpt-java,com.plexpt.chatgpt,ChatGPT,chatCompletion,4,1,1
chatgpt-java,com.plexpt.chatgpt,ChatGPT,chatCompletion,4,1,1
chatgpt-java,com.plexpt.chatgpt,ChatGPT,chat,5,1,1
chatgpt-java,com.plexpt.chatgpt,ChatGPT,creditGrants,4,1,0
chatgpt-java,com.plexpt.chatgpt,ChatGPT,balance,11,1,0
chatgpt-java,com.plexpt.chatgpt,ChatGPT,balance,4,1,1
chatgpt-java,com.plexpt.chatgpt,ChatGPTStream,init,11,2,0
chatgpt-java,com.plexpt.chatgpt,ChatGPTStream,streamChatCompletion,17,2,2
chatgpt-java,com.plexpt.chatgpt,ChatGPTStream,streamChatCompletion,4,1,2
chatgpt-java,com.plexpt.chatgpt,ConsoleChatGPT,main,55,4,1
chatgpt-java,com.plexpt.chatgpt,ConsoleChatGPT,onError,4,1,2
chatgpt-java,com.plexpt.chatgpt,ConsoleChatGPT,getBalance,4,1,1
chatgpt-java,com.plexpt.chatgpt,ConsoleChatGPT,check,5,2,1
chatgpt-java,com.plexpt.chatgpt,ConsoleChatGPT,getInput,15,2,1
chatgpt-java,com.plexpt.chatgpt,Embedding,init,37,5,0
chatgpt-java,com.plexpt.chatgpt,Embedding,createEmbeddings,4,1,1
chatgpt-java,com.plexpt.chatgpt,Embedding,createEmbeddings,5,1,2
chatgpt-java,com.plexpt.chatgpt,Images,init,38,5,0
chatgpt-java,com.plexpt.chatgpt,Images,generations,4,1,1
chatgpt-java,com.plexpt.chatgpt,Images,edits,8,1,3
chatgpt-java,com.plexpt.chatgpt,Images,variations,6,1,2
chatgpt-java,com.plexpt.chatgpt,Test,main,15,2,1
chatgpt-java,com.plexpt.chatgpt,EmbeddingTest,before,3,1,0
chatgpt-java,com.plexpt.chatgpt,EmbeddingTest,setEmbedding,4,1,0
chatgpt-java,com.plexpt.chatgpt,FunctionCallTest,before,4,1,0
chatgpt-java,com.plexpt.chatgpt,FunctionCallTest,chat,26,3,0
chatgpt-java,com.plexpt.chatgpt,FunctionCallTest,callWithWeather,10,1,3
chatgpt-java,com.plexpt.chatgpt,FunctionCallTest,getCurrentWeather,3,1,2
chatgpt-java,com.plexpt.chatgpt,StreamTest,before,4,1,0
chatgpt-java,com.plexpt.chatgpt,StreamTest,chatCompletions,13,1,0
chatgpt-java,com.plexpt.chatgpt,StreamTest,sseEmitter,10,1,1
chatgpt-java,com.plexpt.chatgpt,Test,main,3,1,1
chatgpt-java,com.plexpt.chatgpt,Test,before,4,1,0
chatgpt-java,com.plexpt.chatgpt,Test,chat,8,1,0
chatgpt-java,com.plexpt.chatgpt,Test,chatmsg,4,1,0
chatgpt-java,com.plexpt.chatgpt,Test,tokens,8,1,0
chatgpt-java,com.plexpt.chatgpt.entity.audio,Transcriptions,Transcriptions,4,1,2
chatgpt-java,com.plexpt.chatgpt.entity.audio,Transcriptions,of,3,1,2
chatgpt-java,com.plexpt.chatgpt.entity.chat,ChatCompletion,countTokens,3,1,0
chatgpt-java,com.plexpt.chatgpt.entity.chat,Message,Message,4,1,2
chatgpt-java,com.plexpt.chatgpt.entity.chat,Message,of,3,1,1
chatgpt-java,com.plexpt.chatgpt.entity.chat,Message,ofSystem,3,1,1
chatgpt-java,com.plexpt.chatgpt.entity.chat,Message,ofAssistant,3,1,1
chatgpt-java,com.plexpt.chatgpt.entity.chat,Message,ofFunction,3,1,1
chatgpt-java,com.plexpt.chatgpt.entity.images,Edits,Edits,6,1,4
chatgpt-java,com.plexpt.chatgpt.entity.images,Edits,ofURL,3,1,3
chatgpt-java,com.plexpt.chatgpt.entity.images,Edits,ofB64_JSON,3,1,3
chatgpt-java,com.plexpt.chatgpt.entity.images,Generations,ofURL,3,1,3
chatgpt-java,com.plexpt.chatgpt.entity.images,Generations,ofB64_JSON,3,1,3
chatgpt-java,com.plexpt.chatgpt.entity.images,Variations,Variations,5,1,3
chatgpt-java,com.plexpt.chatgpt.entity.images,Variations,ofURL,3,1,2
chatgpt-java,com.plexpt.chatgpt.entity.images,Variations,ofB64_JSON,3,1,2
chatgpt-java,com.plexpt.chatgpt.exception,ChatException,ChatException,3,1,1
chatgpt-java,com.plexpt.chatgpt.listener,AbstractStreamListener,onMsg,0,1,1
chatgpt-java,com.plexpt.chatgpt.listener,AbstractStreamListener,onError,0,1,2
chatgpt-java,com.plexpt.chatgpt.listener,AbstractStreamListener,onOpen,2,1,2
chatgpt-java,com.plexpt.chatgpt.listener,AbstractStreamListener,onClosed,2,1,1
chatgpt-java,com.plexpt.chatgpt.listener,AbstractStreamListener,onEvent,17,4,4
chatgpt-java,com.plexpt.chatgpt.listener,AbstractStreamListener,onFailure,26,4,3
chatgpt-java,com.plexpt.chatgpt.listener,ConsoleStreamListener,onMsg,3,1,1
chatgpt-java,com.plexpt.chatgpt.listener,ConsoleStreamListener,onError,2,1,2
chatgpt-java,com.plexpt.chatgpt.listener,SseStreamListener,onMsg,3,1,1
chatgpt-java,com.plexpt.chatgpt.listener,SseStreamListener,onError,3,1,2
chatgpt-java,com.plexpt.chatgpt.util,ChatContextHolder,get,8,2,1
chatgpt-java,com.plexpt.chatgpt.util,ChatContextHolder,add,4,1,2
chatgpt-java,com.plexpt.chatgpt.util,ChatContextHolder,add,8,2,2
chatgpt-java,com.plexpt.chatgpt.util,ChatContextHolder,remove,3,1,1
