Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
chatgpt-java,com.plexpt.chatgpt.api,Api,1,0,10,0,45,10,0,0,-1.0,5,6
chatgpt-java,com.plexpt.chatgpt,Audio,7,0,3,3,79,7,0,0,0.0,0,3
chatgpt-java,com.plexpt.chatgpt,ChatGPT,7,0,7,7,125,11,0,0,0.0,4,8
chatgpt-java,com.plexpt.chatgpt,ChatGPTStream,6,0,3,3,62,5,0,0,0.0,2,2
chatgpt-java,com.plexpt.chatgpt,ConsoleChatGPT,1,1,5,3,86,10,0,0,0.4,1,6
chatgpt-java,com.plexpt.chatgpt,Embedding,7,0,3,3,79,7,0,0,0.0,1,3
chatgpt-java,com.plexpt.chatgpt,Images,7,0,4,4,85,8,0,0,0.0,1,5
chatgpt-java,com.plexpt.chatgpt,Test,0,0,1,1,22,2,0,0,-1.0,0,5
chatgpt-java,com.plexpt.chatgpt,EmbeddingTest,1,0,2,2,15,2,0,0,0.0,0,2
chatgpt-java,com.plexpt.chatgpt,FunctionCallTest,1,0,4,3,46,6,0,0,0.0,0,8
chatgpt-java,com.plexpt.chatgpt,StreamTest,1,0,3,3,34,3,0,0,0.0,0,6
chatgpt-java,com.plexpt.chatgpt,Test,1,0,5,5,33,5,0,0,0.6,0,5
chatgpt-java,com.plexpt.chatgpt.entity.audio,AudioResponse,1,0,0,0,8,0,0,0,-1.0,0,0
chatgpt-java,com.plexpt.chatgpt.entity.audio,Transcriptions,0,0,2,2,14,2,0,0,-1.0,2,0
chatgpt-java,com.plexpt.chatgpt.entity,BaseResponse,7,0,0,0,14,0,0,0,-1.0,4,1
chatgpt-java,com.plexpt.chatgpt.entity,Error,4,0,0,0,6,0,0,0,-1.0,1,0
chatgpt-java,com.plexpt.chatgpt.entity.billing,CreditGrantsResponse,5,0,0,0,23,0,0,0,-1.0,0,1
chatgpt-java,com.plexpt.chatgpt.entity.billing,Datum,6,0,0,0,23,0,0,0,-1.0,0,0
