Project Name,Package Name,Type Name,Code Smell
dbeaver,org.jkiss.dbeaver.tools.compare.simple,CompareReportLine,Unnecessary Abstraction
dbeaver,org.jkiss.dbeaver.tools.compare.simple,CompareReportLine,Broken Modularization
dbeaver,org.jkiss.dbeaver.tools.compare.simple.messages,CompareMessages,Deficient Encapsulation
dbeaver,org.jkiss.dbeaver.tools.compare.simple.ui,CompareObjectsHandler,Unutilized Abstraction
dbeaver,org.jkiss.dbeaver.tools.compare.simple.ui,CompareObjectsPageOutput,Unutilized Abstraction
dbeaver,org.jkiss.dbeaver.tools.compare.simple.ui,CompareObjectsPageSettings,Unutilized Abstraction
dbeaver,org.jkiss.dbeaver.tools.compare.simple.ui,CompareObjectsWizard,Unutilized Abstraction
dbeaver,org.jkiss.dbeaver.tools.compare.simple.ui.internal,CompareUIMessages,Deficient Encapsulation
dbeaver,org.jkiss.awt.injector,BrowsePeerProxy,Unutilized Abstraction
dbeaver,org.jkiss.awt.injector,BrowsePeerProxy,Insufficient Modularization
dbeaver,org.jkiss.dbeaver.core,CoreCommands,Unnecessary Abstraction
dbeaver,org.jkiss.dbeaver.core,CoreFeatures,Broken Modularization
dbeaver,org.jkiss.dbeaver.core,CoreMessages,Deficient Encapsulation
dbeaver,org.jkiss.dbeaver.core,DBeaverActivator,Cyclic-Dependent Modularization
dbeaver,org.jkiss.dbeaver.core,DesktopPlatform,Deficient Encapsulation
dbeaver,org.jkiss.dbeaver.core,DesktopPlatform,Cyclic-Dependent Modularization
dbeaver,org.jkiss.dbeaver.core,DesktopPreferencesInitializer,Unutilized Abstraction
dbeaver,org.jkiss.dbeaver.core,DesktopUI,Cyclic-Dependent Modularization
dbeaver,org.jkiss.dbeaver.core,DesktopUI,Insufficient Modularization
dbeaver,org.jkiss.dbeaver.core,WorkbenchContextListener,Deficient Encapsulation
dbeaver,org.jkiss.dbeaver.core,WorkbenchContextListener,Cyclic-Dependent Modularization
dbeaver,org.jkiss.dbeaver.core,WorkbenchContextListener,Insufficient Modularization
dbeaver,org.jkiss.dbeaver,DBeaverPreferences,Deficient Encapsulation
dbeaver,org.jkiss.dbeaver,DBeaverPreferences,Broken Modularization
dbeaver,org.jkiss.dbeaver,DBException,Deficient Encapsulation
dbeaver,org.jkiss.dbeaver,Log,Cyclic-Dependent Modularization
dbeaver,org.jkiss.dbeaver,Log,Insufficient Modularization
dbeaver,org.jkiss.dbeaver,LogOutputStream,Deficient Encapsulation
dbeaver,org.jkiss.dbeaver,ModelPreferences,Deficient Encapsulation
dbeaver,org.jkiss.dbeaver,ModelPreferences,Cyclic-Dependent Modularization
dbeaver,org.jkiss.dbeaver.registry,DataSourceDescriptorManager,Unutilized Abstraction
dbeaver,org.jkiss.dbeaver.registry,EclipsePluginApplicationImpl,Unutilized Abstraction
dbeaver,org.jkiss.dbeaver.registry,EclipsePluginApplicationImpl,Broken Hierarchy
dbeaver,org.jkiss.dbeaver.registry,WorkbenchHandlerRegistry,Deficient Encapsulation
dbeaver,org.jkiss.dbeaver.registry,BasePlatformImpl,Unutilized Abstraction
dbeaver,org.jkiss.dbeaver.registry,BasePlatformImpl,Deficient Encapsulation
dbeaver,org.jkiss.dbeaver.registry,BaseProjectImpl,Deficient Encapsulation
dbeaver,org.jkiss.dbeaver.registry,BaseProjectImpl,Cyclic-Dependent Modularization
dbeaver,org.jkiss.dbeaver.registry,BaseProjectImpl,Insufficient Modularization
dbeaver,org.jkiss.dbeaver.registry,ProjectSyncJob,Cyclic-Dependent Modularization
dbeaver,org.jkiss.dbeaver.registry,BaseWorkspaceImpl,Deficient Encapsulation
dbeaver,org.jkiss.dbeaver.registry,BaseWorkspaceImpl,Cyclic-Dependent Modularization
dbeaver,org.jkiss.dbeaver.registry,BaseWorkspaceImpl,Insufficient Modularization
dbeaver,org.jkiss.dbeaver.registry,DataSourceAuthModelDescriptor,Unutilized Abstraction
dbeaver,org.jkiss.dbeaver.registry,DataSourceAuthModelDescriptor,Deficient Encapsulation
dbeaver,org.jkiss.dbeaver.registry,DataSourceAuthModelDescriptor,Broken Hierarchy
dbeaver,org.jkiss.dbeaver.registry,DataSourceAuthModelDescriptor,Cyclic-Dependent Modularization
dbeaver,org.jkiss.dbeaver.registry,DataSourceBindingDescriptor,Unutilized Abstraction
dbeaver,org.jkiss.dbeaver.registry,DataSourceInfo,Unutilized Abstraction
dbeaver,org.jkiss.dbeaver.registry,DataSourceConfigurationManagerNIO,Unutilized Abstraction
dbeaver,org.jkiss.dbeaver.registry,DataSourceConfigurationStorageDescriptor,Deficient Encapsulation
dbeaver,org.jkiss.dbeaver.registry,DataSourceDescriptor,Deficient Encapsulation
dbeaver,org.jkiss.dbeaver.registry,DataSourceDescriptor,Cyclic-Dependent Modularization
dbeaver,org.jkiss.dbeaver.registry,DataSourceDescriptor,Insufficient Modularization
dbeaver,org.jkiss.dbeaver.registry,DataSourceDescriptor,Hub-like Modularization
dbeaver,org.jkiss.dbeaver.registry,ContextInfo,Unutilized Abstraction
dbeaver,org.jkiss.dbeaver.registry,DataSourceFileStorage,Unutilized Abstraction
dbeaver,org.jkiss.dbeaver.registry,DataSourceFolder,Cyclic-Dependent Modularization
dbeaver,org.jkiss.dbeaver.registry,DataSourceHandlerDescriptor,Deficient Encapsulation
dbeaver,org.jkiss.dbeaver.registry,DataSourceMemoryStorage,Unutilized Abstraction
dbeaver,org.jkiss.dbeaver.registry,DataSourceNavigatorSettings,Deficient Encapsulation
dbeaver,org.jkiss.dbeaver.registry,DataSourceNavigatorSettings,Cyclic-Dependent Modularization
dbeaver,org.jkiss.dbeaver.registry,DataSourceNavigatorSettings,Insufficient Modularization
dbeaver,org.jkiss.dbeaver.registry,Preset,Cyclic-Dependent Modularization
