Project Name,Package Name,Type Name,Method Name,Code Smell
dbeaver,org.jkiss.dbeaver.tools.compare.simple,CompareObjectsExecutor,CompareObjectsExecutor,Long Statement
dbeaver,org.jkiss.dbeaver.tools.compare.simple,CompareObjectsExecutor,compareProperties,Complex Method
dbeaver,org.jkiss.dbeaver.tools.compare.simple,CompareObjectsExecutor,compareProperties,Long Statement
dbeaver,org.jkiss.dbeaver.tools.compare.simple,CompareObjectsExecutor,compareProperties,Long Statement
dbeaver,org.jkiss.dbeaver.tools.compare.simple,CompareObjectsExecutor,compareProperties,Magic Number
dbeaver,org.jkiss.dbeaver.tools.compare.simple,CompareObjectsExecutor,compareChildren,Complex Method
dbeaver,org.jkiss.dbeaver.tools.compare.simple,CompareObjectsSettings,loadFrom,Complex Method
dbeaver,org.jkiss.dbeaver.tools.compare.simple,CompareReportRenderer,renderReport,Long Statement
dbeaver,org.jkiss.dbeaver.tools.compare.simple,CompareReportRenderer,renderHeader,Long Statement
dbeaver,org.jkiss.dbeaver.tools.compare.simple,CompareReportRenderer,renderHeader,Long Statement
dbeaver,org.jkiss.dbeaver.tools.compare.simple,CompareReportRenderer,renderHeader,Long Statement
dbeaver,org.jkiss.dbeaver.tools.compare.simple,CompareReportRenderer,renderHeader,Magic Number
dbeaver,org.jkiss.dbeaver.tools.compare.simple,CompareReportRenderer,renderBody,Complex Conditional
dbeaver,org.jkiss.dbeaver.tools.compare.simple,CompareReportRenderer,renderBody,Complex Method
dbeaver,org.jkiss.dbeaver.tools.compare.simple,CompareReportRenderer,renderBody,Long Method
dbeaver,org.jkiss.dbeaver.tools.compare.simple,CompareUtils,equalPropertyValues,Long Statement
dbeaver,org.jkiss.dbeaver.tools.compare.simple.ui,CompareObjectsHandler,execute,Complex Method
dbeaver,org.jkiss.dbeaver.tools.compare.simple.ui,CompareObjectsHandler,execute,Long Statement
dbeaver,org.jkiss.dbeaver.tools.compare.simple.ui,CompareObjectsHandler,execute,Long Statement
dbeaver,org.jkiss.dbeaver.tools.compare.simple.ui,CompareObjectsHandler,execute,Magic Number
dbeaver,org.jkiss.dbeaver.tools.compare.simple.ui,CompareObjectsPageOutput,createControl,Long Statement
dbeaver,org.jkiss.dbeaver.tools.compare.simple.ui,CompareObjectsPageOutput,createControl,Long Statement
dbeaver,org.jkiss.dbeaver.tools.compare.simple.ui,CompareObjectsPageOutput,createControl,Magic Number
dbeaver,org.jkiss.dbeaver.tools.compare.simple.ui,CompareObjectsPageSettings,createControl,Long Statement
dbeaver,org.jkiss.dbeaver.tools.compare.simple.ui,CompareObjectsPageSettings,createControl,Long Statement
dbeaver,org.jkiss.dbeaver.tools.compare.simple.ui,CompareObjectsPageSettings,createControl,Long Statement
dbeaver,org.jkiss.dbeaver.tools.compare.simple.ui,CompareObjectsPageSettings,createControl,Long Statement
dbeaver,org.jkiss.dbeaver.tools.compare.simple.ui,CompareObjectsPageSettings,createControl,Magic Number
dbeaver,org.jkiss.dbeaver.tools.compare.simple.ui,CompareObjectsWizard,CompareObjectsWizard,Long Identifier
dbeaver,org.jkiss.dbeaver.tools.compare.simple.ui,CompareObjectsWizard,performFinish,Long Statement
dbeaver,org.jkiss.dbeaver.tools.compare.simple.ui,CompareObjectsWizard,generateReport,Magic Number
dbeaver,org.jkiss.dbeaver.tools.compare.simple.ui,CompareObjectsWizard,renderReport,Missing default
dbeaver,org.jkiss.awt.injector,BrowsePeerProxy,isSupported,Empty catch clause
dbeaver,org.jkiss.awt.injector,BrowsePeerProxy,browse,Empty catch clause
dbeaver,org.jkiss.dbeaver.core,DBeaverActivator,injectSvgFileFormat,Long Statement
dbeaver,org.jkiss.dbeaver.core,DesktopPlatform,initialize,Long Statement
dbeaver,org.jkiss.dbeaver.core,DesktopPlatform,dispose,Complex Conditional
dbeaver,org.jkiss.dbeaver.core,DesktopPlatform,dispose,Complex Method
dbeaver,org.jkiss.dbeaver.core,DesktopPlatform,dispose,Magic Number
dbeaver,org.jkiss.dbeaver.core,DesktopPlatform,dispose,Magic Number
dbeaver,org.jkiss.dbeaver.core,DesktopPlatform,getTempFolder,Complex Method
dbeaver,org.jkiss.dbeaver.core,DesktopPreferencesInitializer,initializeDefaultPreferences,Long Statement
dbeaver,org.jkiss.dbeaver.core,DesktopPreferencesInitializer,initializeDefaultPreferences,Long Statement
dbeaver,org.jkiss.dbeaver.core,DesktopPreferencesInitializer,initializeDefaultPreferences,Long Statement
dbeaver,org.jkiss.dbeaver.core,DesktopPreferencesInitializer,initializeDefaultPreferences,Long Statement
dbeaver,org.jkiss.dbeaver.core,DesktopPreferencesInitializer,initializeDefaultPreferences,Long Statement
dbeaver,org.jkiss.dbeaver.core,DesktopPreferencesInitializer,initializeDefaultPreferences,Long Statement
dbeaver,org.jkiss.dbeaver.core,DesktopPreferencesInitializer,initializeDefaultPreferences,Magic Number
dbeaver,org.jkiss.dbeaver.core,DesktopPreferencesInitializer,initializeDefaultPreferences,Magic Number
dbeaver,org.jkiss.dbeaver.core,DesktopPreferencesInitializer,initializeDefaultPreferences,Magic Number
dbeaver,org.jkiss.dbeaver.core,DesktopPreferencesInitializer,initializeDefaultPreferences,Magic Number
dbeaver,org.jkiss.dbeaver.core,DesktopUI,initialize,Magic Number
dbeaver,org.jkiss.dbeaver.core,DesktopUI,run,Magic Number
dbeaver,org.jkiss.dbeaver.core,DesktopUI,notifyAgent,Long Statement
dbeaver,org.jkiss.dbeaver.core,DesktopUI,showError,Long Statement
dbeaver,org.jkiss.dbeaver.core,DesktopUI,showMessageBox,Long Statement
dbeaver,org.jkiss.dbeaver.core,DesktopUI,showNotification,Long Statement
dbeaver,org.jkiss.dbeaver.core,DesktopUI,confirmAction,Long Statement
dbeaver,org.jkiss.dbeaver.core,DesktopUI,showUserChoice,Long Parameter List
