Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
dbeaver,org.jkiss.dbeaver.tools.compare.simple,CompareObjectsExecutor,13,0,13,6,281,69,0,0,0.0,1,15
dbeaver,org.jkiss.dbeaver.tools.compare.simple,CompareObjectsSettings,9,0,20,19,101,27,0,0,0.15,5,2
dbeaver,org.jkiss.dbeaver.tools.compare.simple,CompareReport,2,0,3,2,17,3,0,0,0.0,2,0
dbeaver,org.jkiss.dbeaver.tools.compare.simple,CompareReportLine,5,0,0,0,10,0,0,0,-1.0,2,1
dbeaver,org.jkiss.dbeaver.tools.compare.simple,CompareReportProperty,2,0,1,1,10,1,0,0,0.0,1,1
dbeaver,org.jkiss.dbeaver.tools.compare.simple,CompareReportRenderer,3,0,3,1,185,31,0,0,0.0,1,6
dbeaver,org.jkiss.dbeaver.tools.compare.simple,CompareUtils,0,0,1,1,24,6,0,0,-1.0,2,0
dbeaver,org.jkiss.dbeaver.tools.compare.simple.messages,CompareMessages,4,3,1,0,11,1,0,0,0.0,1,0
dbeaver,org.jkiss.dbeaver.tools.compare.simple.ui,CompareObjectsHandler,1,0,1,1,46,9,0,0,0.0,0,6
dbeaver,org.jkiss.dbeaver.tools.compare.simple.ui,CompareObjectsPageOutput,3,0,8,6,79,13,0,0,0.625,0,4
dbeaver,org.jkiss.dbeaver.tools.compare.simple.ui,CompareObjectsPageSettings,5,0,9,7,88,10,0,0,0.4444444444444444,0,4
dbeaver,org.jkiss.dbeaver.tools.compare.simple.ui,CompareObjectsWizard,3,0,9,6,114,16,0,0,0.4444444444444444,0,11
dbeaver,org.jkiss.dbeaver.tools.compare.simple.ui,CompareWizardDialog,0,0,2,1,13,2,0,0,-1.0,1,1
dbeaver,org.jkiss.dbeaver.tools.compare.simple.ui.internal,CompareUIMessages,27,26,1,1,34,1,0,0,0.0,5,0
dbeaver,org.jkiss.awt.injector,BrowsePeerProxy,3,0,23,22,92,25,0,0,0.0,0,0
dbeaver,org.jkiss.awt.injector,ProxyInjector,0,0,1,1,13,2,0,0,-1.0,1,0
dbeaver,org.jkiss.dbeaver.core,CoreCommands,1,0,0,0,6,0,0,0,-1.0,1,0
dbeaver,org.jkiss.dbeaver.core,CoreFeatures,14,0,0,0,19,0,0,0,-1.0,8,1
dbeaver,org.jkiss.dbeaver.core,CoreMessages,511,511,1,0,518,1,0,0,0.0,79,0
dbeaver,org.jkiss.dbeaver.core,DBeaverActivator,5,0,12,8,113,16,0,0,0.25,12,10
dbeaver,org.jkiss.dbeaver.core,DesktopPlatform,15,2,20,16,233,43,0,0,0.2,6,15
dbeaver,org.jkiss.dbeaver.core,DesktopPreferencesInitializer,0,0,2,2,29,2,0,0,-1.0,0,11
dbeaver,org.jkiss.dbeaver.core,DesktopUI,5,0,56,44,496,110,0,0,0.7678571428571429,3,38
dbeaver,org.jkiss.dbeaver.core,WorkbenchContextListener,6,1,27,22,171,49,0,0,0.6296296296296297,2,12
dbeaver,org.jkiss.dbeaver.core,CommandExecutionListener,0,0,4,4,14,5,0,0,-1.0,1,2
dbeaver,org.jkiss.dbeaver,DBeaverPreferences,21,20,0,0,26,0,0,0,-1.0,17,2
dbeaver,org.jkiss.dbeaver,DBException,4,1,10,9,105,24,0,0,0.4,14,4
dbeaver,org.jkiss.dbeaver,Log,13,0,43,36,346,94,0,0,0.09302325581395349,1044,6
dbeaver,org.jkiss.dbeaver,Context,2,0,4,3,17,4,0,0,0.5,1,0
dbeaver,org.jkiss.dbeaver,Listener,0,0,1,0,3,1,0,0,-1.0,14,0
dbeaver,org.jkiss.dbeaver,LogHandler,0,0,19,0,24,19,0,0,-1.0,1,0
dbeaver,org.jkiss.dbeaver,LogOutputStream,13,4,7,5,113,20,0,0,0.0,2,2
dbeaver,org.jkiss.dbeaver,ModelPreferences,94,91,11,8,260,16,0,0,0.45454545454545453,130,11
dbeaver,org.jkiss.dbeaver.registry,DataSourceDescriptorManager,0,0,6,6,72,16,0,0,-1.0,0,11
dbeaver,org.jkiss.dbeaver.registry,EclipsePluginApplicationImpl,0,0,13,13,43,13,0,2,-1.0,0,2
dbeaver,org.jkiss.dbeaver.registry,SWTBrowserRegistry,3,0,7,5,53,9,0,0,0.2857142857142857,3,5
dbeaver,org.jkiss.dbeaver.registry,WorkbenchHandlerRegistry,6,2,4,2,44,8,0,0,0.5,2,6
dbeaver,org.jkiss.dbeaver.registry,HandlerDescriptor,1,0,1,0,7,1,0,0,0.0,1,2
dbeaver,org.jkiss.dbeaver.registry,BaseApplicationImpl,0,0,1,0,7,1,1,0,-1.0,2,0
dbeaver,org.jkiss.dbeaver.registry,BasePlatformImpl,13,2,24,19,181,42,0,0,0.5,0,18
dbeaver,org.jkiss.dbeaver.registry,BasePolicyDataProvider,3,0,7,4,61,12,0,0,0.5714285714285714,10,3
dbeaver,org.jkiss.dbeaver.registry,BaseProjectImpl,19,4,46,34,442,95,1,0,0.3695652173913043,3,15
dbeaver,org.jkiss.dbeaver.registry,ProjectSyncJob,0,0,2,0,49,8,0,0,-1.0,1,3
dbeaver,org.jkiss.dbeaver.registry,BaseWorkspaceImpl,10,1,32,25,216,49,1,0,0.1875,4,14
dbeaver,org.jkiss.dbeaver.registry,DataSourceAuthModelDescriptor,14,1,18,16,129,27,0,1,0.1111111111111111,2,11
dbeaver,org.jkiss.dbeaver.registry,DataSourceBindingDescriptor,5,0,4,3,60,12,1,0,0.0,0,2
dbeaver,org.jkiss.dbeaver.registry,DataSourceInfo,3,0,2,1,36,6,0,0,0.0,0,1
dbeaver,org.jkiss.dbeaver.registry,DataSourceConfigurationManager,0,0,5,0,13,5,2,0,-1.0,5,0
dbeaver,org.jkiss.dbeaver.registry,DataSourceConfigurationManagerBuffer,1,0,7,7,27,8,0,1,0.5714285714285714,2,0
dbeaver,org.jkiss.dbeaver.registry,DataSourceConfigurationManagerNIO,2,0,7,6,86,19,0,1,0.42857142857142855,0,5
dbeaver,org.jkiss.dbeaver.registry,DataSourceConfigurationStorageDescriptor,8,1,6,6,48,8,0,0,0.0,1,6
dbeaver,org.jkiss.dbeaver.registry,DataSourceDescriptor,56,5,168,145,1610,361,0,0,0.041666666666666664,31,43
dbeaver,org.jkiss.dbeaver.registry,ContextInfo,1,0,3,3,12,3,0,0,0.0,0,0
dbeaver,org.jkiss.dbeaver.registry,DataSourceFileStorage,4,0,15,13,64,16,0,0,0.26666666666666666,0,2
dbeaver,org.jkiss.dbeaver.registry,DataSourceFolder,5,0,14,13,75,21,0,0,0.14285714285714285,7,3
dbeaver,org.jkiss.dbeaver.registry,DataSourceHandlerDescriptor,5,1,4,4,27,5,0,0,0.0,2,4
dbeaver,org.jkiss.dbeaver.registry,DataSourceMemoryStorage,1,0,8,8,30,8,0,0,0.875,0,0
dbeaver,org.jkiss.dbeaver.registry,DataSourceNavigatorSettings,23,5,24,24,159,31,0,0,0.125,15,6
dbeaver,org.jkiss.dbeaver.registry,Preset,4,0,5,5,23,5,0,0,0.4,1,1
dbeaver,org.jkiss.dbeaver.registry,DataSourceOriginLazy,3,0,12,11,51,13,0,0,0.4166666666666667,0,3
dbeaver,org.jkiss.dbeaver.registry,DataSourceOriginLocal,2,2,9,8,33,9,0,0,0.8888888888888888,5,2
dbeaver,org.jkiss.dbeaver.registry,DataSourceOriginProviderDescriptor,5,0,4,4,33,5,0,0,0.0,1,4
dbeaver,org.jkiss.dbeaver.registry,DataSourceOriginProviderLocal,1,1,1,1,9,1,0,0,0.0,0,2
dbeaver,org.jkiss.dbeaver.registry,DataSourcePersistentRegistry,0,0,4,0,21,4,1,0,-1.0,0,2
dbeaver,org.jkiss.dbeaver.registry,DataSourcePreferenceStore,1,0,5,3,33,8,0,0,0.4,1,4
dbeaver,org.jkiss.dbeaver.registry,DataSourceProviderDescriptor,23,2,46,32,508,117,0,0,0.043478260869565216,13,17
dbeaver,org.jkiss.dbeaver.registry,DataSourceProviderRegistry,14,0,40,34,541,123,0,0,0.175,37,19
dbeaver,org.jkiss.dbeaver.registry,ConnectionTypeParser,0,0,3,3,28,8,0,0,-1.0,0,1
dbeaver,org.jkiss.dbeaver.registry,DataSourceRegistry,26,4,80,59,797,180,0,1,0.0875,26,33
dbeaver,org.jkiss.dbeaver.registry,ParseResults,4,0,0,0,6,0,0,0,-1.0,1,0
dbeaver,org.jkiss.dbeaver.registry,DisconnectTask,1,0,2,2,36,5,0,0,1.0,1,0
dbeaver,org.jkiss.dbeaver.registry,ConfigSaver,0,0,2,0,11,2,0,0,-1.0,1,0
dbeaver,org.jkiss.dbeaver.registry,DataSourceSerializer,0,0,2,0,7,2,2,0,-1.0,1,4
dbeaver,org.jkiss.dbeaver.registry,DataSourceSerializerLegacy,14,0,9,5,392,80,0,1,0.2222222222222222,2,30
dbeaver,org.jkiss.dbeaver.registry,DataSourcesParser,11,0,5,3,354,74,0,0,0.0,1,25
dbeaver,org.jkiss.dbeaver.registry,DataSourceSerializerModern,26,2,25,2,1085,204,0,1,0.0,3,34
dbeaver,org.jkiss.dbeaver.registry,DataSourceUtils,27,10,6,6,335,83,0,0,1.0,6,12
dbeaver,org.jkiss.dbeaver.registry,DesktopApplicationImpl,0,0,2,2,11,2,1,1,-1.0,0,1
dbeaver,org.jkiss.dbeaver.registry,DesktopWorkspaceImpl,6,0,21,15,309,63,0,2,0.19047619047619047,0,11
dbeaver,org.jkiss.dbeaver.registry,WorkspaceFilesMetadataJob,0,0,2,1,19,2,0,0,-1.0,0,2
dbeaver,org.jkiss.dbeaver.registry,DriverCategoryDescriptor,6,0,8,8,41,8,0,0,0.0,2,2
dbeaver,org.jkiss.dbeaver.registry,DriverManagerRegistry,3,1,4,3,30,9,0,0,0.5,2,1
dbeaver,org.jkiss.dbeaver.registry,DriverSubstitutionDescriptor,6,0,6,6,43,8,0,0,0.0,0,3
dbeaver,org.jkiss.dbeaver.registry,EclipseWorkspaceImpl,3,0,12,5,169,34,1,1,0.3333333333333333,0,8
dbeaver,org.jkiss.dbeaver.registry,ProjectListener,0,0,1,1,38,8,0,0,-1.0,1,0
dbeaver,org.jkiss.dbeaver.registry,EditorContributionDescriptor,9,0,9,9,84,17,0,0,0.0,1,8
dbeaver,org.jkiss.dbeaver.registry,ExternalResourceDescriptor,4,1,4,4,23,4,0,0,0.0,1,2
dbeaver,org.jkiss.dbeaver.registry,FilterMapping,3,1,6,3,51,12,0,0,0.0,2,5
dbeaver,org.jkiss.dbeaver.registry,GlobalEventManagerImpl,3,0,5,4,36,7,0,0,0.4,2,3
dbeaver,org.jkiss.dbeaver.registry,LocalConfigurationController,2,0,4,4,52,11,0,0,0.0,1,1
dbeaver,org.jkiss.dbeaver.registry,LocalFileController,1,0,7,5,45,8,0,0,0.2857142857142857,0,0
dbeaver,org.jkiss.dbeaver.registry,LocalProjectImpl,6,0,15,12,169,38,0,1,0.3333333333333333,2,7
dbeaver,org.jkiss.dbeaver.registry,LocalSystemRegistry,2,0,17,11,68,19,0,0,1.0,3,3
dbeaver,org.jkiss.dbeaver.registry,Registry,0,0,5,0,7,5,2,0,-1.0,1,0
dbeaver,org.jkiss.dbeaver.registry,WindowsRegistry,0,0,6,5,26,6,0,1,-1.0,0,0
dbeaver,org.jkiss.dbeaver.registry,VoidRegistry,0,0,5,5,17,5,0,1,-1.0,0,0
dbeaver,org.jkiss.dbeaver.registry,LocalTaskController,1,0,6,5,74,12,0,0,0.3333333333333333,0,3
dbeaver,org.jkiss.dbeaver.registry,LocalWorkspaceSession,5,1,9,9,62,15,0,0,0.3333333333333333,0,4
dbeaver,org.jkiss.dbeaver.registry,NativeClientDescriptor,3,0,6,4,44,9,0,0,0.0,1,6
dbeaver,org.jkiss.dbeaver.registry,NativeClientDistributionDescriptor,6,0,7,7,113,22,0,0,0.0,1,12
dbeaver,org.jkiss.dbeaver.registry,NativeClientFileDescriptor,2,0,4,4,23,5,0,0,0.0,1,1
dbeaver,org.jkiss.dbeaver.registry,ObjectManagerDescriptor,5,1,7,5,49,9,0,0,0.0,2,3
dbeaver,org.jkiss.dbeaver.registry,ObjectManagerRegistry,5,0,6,5,67,16,0,0,0.3333333333333333,3,3
dbeaver,org.jkiss.dbeaver.registry,PluginServiceRegistry,5,1,4,2,35,6,0,0,0.5,2,6
dbeaver,org.jkiss.dbeaver.registry,ServiceDescriptor,1,0,1,0,7,1,0,0,0.0,1,2
dbeaver,org.jkiss.dbeaver.registry,ProductBundleDescriptor,3,0,4,4,23,4,0,0,0.0,1,1
dbeaver,org.jkiss.dbeaver.registry,ProductBundleRegistry,3,1,4,3,29,7,0,0,0.5,2,2
dbeaver,org.jkiss.dbeaver.registry,ProductFeatureRegistry,4,1,3,2,27,5,0,0,0.6666666666666666,1,4
dbeaver,org.jkiss.dbeaver.registry,RegistryConstants,200,193,0,0,205,0,0,0,-1.0,65,0
dbeaver,org.jkiss.dbeaver.registry,ResourceHandlerDescriptor,5,1,9,8,59,13,0,0,0.0,1,6
dbeaver,org.jkiss.dbeaver.registry,ResourceTypeDescriptor,12,1,16,14,188,42,0,0,0.0,3,6
dbeaver,org.jkiss.dbeaver.registry,ResourceTypeRegistry,4,1,5,4,41,11,0,0,0.4,4,4
dbeaver,org.jkiss.dbeaver.registry,SecureCredentials,3,0,11,11,51,13,0,0,0.18181818181818182,1,3
dbeaver,org.jkiss.dbeaver.registry,DataSourceConfiguratorDescriptor,3,1,7,7,45,12,0,0,0.2857142857142857,1,2
dbeaver,org.jkiss.dbeaver.registry,DataSourcePageDescriptor,8,0,10,10,55,10,0,0,0.0,1,4
dbeaver,org.jkiss.dbeaver.registry,DataSourceViewDescriptor,7,1,8,8,47,8,0,0,0.0,4,3
dbeaver,org.jkiss.dbeaver.registry,DataSourceViewRegistry,3,0,8,6,82,25,0,0,0.25,4,7
dbeaver,org.jkiss.dbeaver.registry,DBConnectionConstants,3,3,0,0,8,0,0,0,-1.0,8,0
dbeaver,org.jkiss.dbeaver.tools.configuration,ConfigurationExportData,1,0,2,2,9,2,0,0,0.0,1,0
dbeaver,org.jkiss.dbeaver.tools.configuration,ConfigurationExportWizard,2,0,6,5,69,17,0,0,0.6666666666666666,0,5
dbeaver,org.jkiss.dbeaver.tools.configuration,ConfigurationExportWizardPage,1,0,5,3,36,6,0,0,0.4,1,3
dbeaver,org.jkiss.dbeaver.tools.configuration,ConfigurationImportData,1,0,2,2,9,2,0,0,0.0,1,0
dbeaver,org.jkiss.dbeaver.tools.configuration,ConfigurationImportWizard,2,0,5,3,72,19,0,0,0.4,0,7
dbeaver,org.jkiss.dbeaver.tools.configuration,ConfigurationImportWizardPage,1,0,4,4,28,4,0,0,0.5,1,3
dbeaver,org.jkiss.dbeaver.tools.project,ExportConstants,25,25,0,0,30,0,0,0,-1.0,4,0
dbeaver,org.jkiss.dbeaver.tools.project,ProjectExportData,8,0,6,5,33,6,0,0,0.3333333333333333,1,1
dbeaver,org.jkiss.dbeaver.tools.project,ProjectExportWizard,5,0,8,4,217,32,0,0,0.375,0,14
dbeaver,org.jkiss.dbeaver.tools.project,ProjectExportWizardPage,6,0,11,6,151,33,0,0,0.18181818181818182,2,9
dbeaver,org.jkiss.dbeaver.tools.project,ProjectImportData,4,0,11,9,76,15,0,0,0.2727272727272727,2,1
dbeaver,org.jkiss.dbeaver.tools.project,ProjectImportWizard,2,0,11,5,359,69,0,0,0.2727272727272727,0,19
dbeaver,org.jkiss.dbeaver.tools.project,ProjectImportWizardPageFile,3,0,14,6,189,34,0,0,0.14285714285714285,0,7
dbeaver,org.jkiss.dbeaver.tools.project,ProjectCreateData,3,0,6,6,26,6,0,0,0.5,1,0
dbeaver,org.jkiss.dbeaver.tools.project,ProjectCreateRemotePage,2,0,5,4,37,5,0,0,0.4,1,1
dbeaver,org.jkiss.dbeaver.tools.project,ProjectCreateWizard,4,0,8,7,87,14,0,0,0.375,0,12
dbeaver,org.jkiss.dbeaver.tools.scripts,ScriptsExportData,3,0,4,3,19,4,0,0,0.0,1,0
dbeaver,org.jkiss.dbeaver.tools.scripts,ScriptsExportWizard,2,0,10,6,142,32,0,0,0.2,0,9
dbeaver,org.jkiss.dbeaver.tools.scripts,ScriptsExportWizardPage,6,0,10,7,129,26,0,0,0.3,2,8
dbeaver,org.jkiss.dbeaver.tools.scripts,ScriptsImportData,5,0,6,5,32,6,0,0,0.0,2,2
dbeaver,org.jkiss.dbeaver.tools.scripts,ScriptsImportWizard,4,0,9,5,141,28,0,0,0.4444444444444444,0,10
dbeaver,org.jkiss.dbeaver.tools.scripts,ScriptsImporter,2,0,3,1,18,3,0,0,0.0,1,2
dbeaver,org.jkiss.dbeaver.tools.scripts,ScriptsImportWizardPage,5,0,13,11,129,23,0,0,0.5384615384615384,1,13
dbeaver,org.jkiss.dbeaver.tools.scripts,ConnectionLabelProvider,0,0,4,4,15,4,0,0,-1.0,0,4
dbeaver,org.jkiss.dbeaver.ui.actions.common,AddBookmarkHandler,2,0,6,4,85,17,0,0,0.6666666666666666,0,12
dbeaver,org.jkiss.dbeaver.ui.actions.common,AddBookmarkDialog,1,0,5,3,54,11,0,0,0.8,1,7
dbeaver,org.jkiss.dbeaver.ui.actions.common,ExternalPageAction,1,0,2,2,10,2,0,0,0.0,0,3
dbeaver,org.jkiss.dbeaver.ui.actions.common,NavigateBookmarkHandler,1,0,1,1,48,8,0,0,0.0,0,12
dbeaver,org.jkiss.dbeaver.ui.actions.datasource,ConnectionViewSettingsContributor,3,0,18,7,139,29,0,1,0.6111111111111112,0,13
dbeaver,org.jkiss.dbeaver.ui.actions.datasource,SettingsAction,1,0,3,0,25,7,7,0,0.6666666666666666,0,6
dbeaver,org.jkiss.dbeaver.ui.actions.datasource,UseSettingsPresetAction,1,0,2,1,14,3,0,1,0.0,0,2
dbeaver,org.jkiss.dbeaver.ui.actions.datasource,UseSettingsCustomAction,0,0,2,1,16,4,0,1,-1.0,0,4
dbeaver,org.jkiss.dbeaver.ui.actions.datasource,ShowSystemObjectsAction,0,0,2,1,12,2,0,1,-1.0,0,3
dbeaver,org.jkiss.dbeaver.ui.actions.datasource,ShowHostNameAction,0,0,2,1,11,2,0,1,-1.0,0,4
