Project Name,Package Name,Type Name,Code Smell
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,ConcatFilesTask,Unutilized Abstraction
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependenciesInfoPlugin,Unutilized Abstraction
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,Fixture,Unutilized Abstraction
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LazyFileOutputStream,Unutilized Abstraction
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseInfo,Unutilized Abstraction
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseMatcher,Unutilized Abstraction
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,UpdateShasTask,Unutilized Abstraction
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,Util,Cyclic-Dependent Modularization
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,Cyclic-Dependent Modularization
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,Insufficient Modularization
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,MutableBuildParams,Cyclic-Dependent Modularization
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,Cyclic-Dependent Modularization
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,Insufficient Modularization
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.util,WrappedConfigureAction,Unutilized Abstraction
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.util,TrustAllManager,Unutilized Abstraction
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.util,TrustAllVerifier,Unutilized Abstraction
elasticsearch-hadoop,org.elasticsearch.hadoop.integration.hive,AbstractHiveExtraTests,Unutilized Abstraction
elasticsearch-hadoop,org.elasticsearch.hadoop.integration.hive,AbstractHiveReadJsonTest,Deficient Encapsulation
elasticsearch-hadoop,org.elasticsearch.hadoop.integration.hive,AbstractHiveSaveJsonTest,Unutilized Abstraction
elasticsearch-hadoop,org.elasticsearch.hadoop.integration.hive,AbstractHiveSaveTest,Unutilized Abstraction
elasticsearch-hadoop,org.elasticsearch.hadoop.integration.hive,AbstractHiveSaveTest,Insufficient Modularization
elasticsearch-hadoop,org.elasticsearch.hadoop.integration.hive,AbstractHiveSearchJsonTest,Deficient Encapsulation
elasticsearch-hadoop,org.elasticsearch.hadoop.integration.hive,AbstractHiveSearchTest,Deficient Encapsulation
elasticsearch-hadoop,org.elasticsearch.hadoop.integration.hive,AbstractHiveSearchTest,Insufficient Modularization
elasticsearch-hadoop,org.elasticsearch.hadoop.integration.hive,InterceptingThreadLocal,Unutilized Abstraction
elasticsearch-hadoop,org.elasticsearch.hadoop.integration.hive,HiveJdbc,Unutilized Abstraction
elasticsearch-hadoop,org.elasticsearch.hadoop.integration.hive,HiveSuite,Deficient Encapsulation
elasticsearch-hadoop,org.elasticsearch.hadoop.hive,EsHiveInputFormat,Unutilized Abstraction
elasticsearch-hadoop,org.elasticsearch.hadoop.hive,EsHiveSplit,Unutilized Abstraction
elasticsearch-hadoop,org.elasticsearch.hadoop.hive,EsHiveOutputFormat,Unutilized Abstraction
elasticsearch-hadoop,org.elasticsearch.hadoop.hive,EsHiveRecordWriter,Unutilized Abstraction
elasticsearch-hadoop,org.elasticsearch.hadoop.hive,EsStorageHandler,Unutilized Abstraction
elasticsearch-hadoop,org.elasticsearch.hadoop.hive,Comparator,Unutilized Abstraction
elasticsearch-hadoop,org.elasticsearch.hadoop.hive,HiveConstants,Broken Modularization
elasticsearch-hadoop,org.elasticsearch.hadoop.hive,HiveFieldExtractor,Cyclic-Dependent Modularization
elasticsearch-hadoop,org.elasticsearch.hadoop.hive,HiveUtils,Cyclic-Dependent Modularization
elasticsearch-hadoop,org.elasticsearch.hadoop.hive,FieldAliasTest,Unutilized Abstraction
elasticsearch-hadoop,org.elasticsearch.hadoop.hive,HiveValueReaderTest,Unutilized Abstraction
elasticsearch-hadoop,org.elasticsearch.hadoop.serialization.handler.write.impl,HiveSerializationEventConverterTest,Unutilized Abstraction
elasticsearch-hadoop,org.elasticsearch.hadoop.serialization.handler.write.impl,DelegatingErrorHandler,Unutilized Abstraction
elasticsearch-hadoop,org.elasticsearch.hadoop.serialization.handler.write.impl,SerializationHandlerLoader,Deficient Encapsulation
elasticsearch-hadoop,org.elasticsearch.hadoop.serialization.handler.write.impl,SerializationHandlerLoader,Cyclic-Dependent Modularization
elasticsearch-hadoop,org.elasticsearch.hadoop.serialization.handler.write.impl,SerializationLogRenderer,Unutilized Abstraction
elasticsearch-hadoop,org.elasticsearch.hadoop.serialization.handler.write.impl,SerializationEventConverterTest,Unutilized Abstraction
elasticsearch-hadoop,org.elasticsearch.hadoop.serialization,HiveFieldExtractorTests,Unutilized Abstraction
elasticsearch-hadoop,org.elasticsearch.hadoop.serialization,HiveTypeToJsonTest,Unutilized Abstraction
elasticsearch-hadoop,org.elasticsearch.hadoop.serialization,HiveTypeToJsonTest,Insufficient Modularization
elasticsearch-hadoop,org.elasticsearch.hadoop.serialization,EsHadoopSerializationException,Unutilized Abstraction
