Project Name,Package Name,Type Name,Method Name,Code Smell
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependenciesInfoPlugin,apply,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependenciesInfoTask,generateDependenciesInfo,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependenciesInfoTask,generateDependenciesInfo,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependenciesInfoTask,getLicenseType,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependenciesInfoTask,getDependencyInfoFile,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependenciesInfoTask,getDependencyInfoFile,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependencyLicensesTask,mapping,Magic Number
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependencyLicensesTask,checkDependencies,Complex Method
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependencyLicensesTask,checkSha,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,additionalLicense,Magic Number
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,runRat,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,runRat,Magic Number
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,runRat,Magic Number
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,unapprovedFiles,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,unapprovedFiles,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LoggedExec,LoggedExec,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LoggedExec,execute,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,Util,getResourceContents,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,Util,getJavaMainSourceResources,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,Util,getJavaTestSourceResources,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,Util,getJavaTestAndMainSourceResources,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,Util,getJavaTestAndMainSourceResources,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,Util,getJavaTestSourceSet,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,Util,getJavaMainSourceSet,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,Util,urlFromOrigin,Magic Number
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,value,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,value,Magic Number
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,propertyName,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,reset,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,MutableBuildParams,reset,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,determineJavaVersion,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,getJavaInstallation,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,getAvailableJavaInstallationLocationSteam,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,getTestSeed,Magic Number
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,throwInvalidJavaHomeException,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,assertMinimumCompilerVersion,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,findRuntimeJavaHome,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,findJavaHome,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,findJavaHome,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,findJavaHome,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,findDefaultParallel,Complex Method
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,findDefaultParallel,Magic Number
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,findDefaultParallel,Magic Number
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,gitInfo,Complex Method
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,gitInfo,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,gitInfo,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,gitInfo,Long Statement
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,findOriginUrl,Magic Number
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,SparkVariant,Long Statement
