Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,ConcatFilesTask,ConcatFilesTask,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,ConcatFilesTask,getFiles,0,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,ConcatFilesTask,setHeaderLine,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,ConcatFilesTask,getHeaderLine,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,ConcatFilesTask,setTarget,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,ConcatFilesTask,getTarget,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,ConcatFilesTask,getAdditionalLines,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,ConcatFilesTask,setAdditionalLines,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,ConcatFilesTask,concatFiles,13,4,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependenciesInfoPlugin,apply,14,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependenciesInfoTask,getRuntimeConfiguration,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependenciesInfoTask,setRuntimeConfiguration,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependenciesInfoTask,getCompileOnlyConfiguration,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependenciesInfoTask,setCompileOnlyConfiguration,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependenciesInfoTask,getLicensesDir,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependenciesInfoTask,setLicensesDir,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependenciesInfoTask,getOutputFile,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependenciesInfoTask,setOutputFile,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependenciesInfoTask,DependenciesInfoTask,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependenciesInfoTask,generateDependenciesInfo,23,4,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependenciesInfoTask,getMappings,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependenciesInfoTask,setMappings,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependenciesInfoTask,createURL,4,1,3
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependenciesInfoTask,getLicenseType,18,3,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependenciesInfoTask,getDependencyInfoFile,8,1,3
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependencyLicensesTask,mapping,14,4,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependencyLicensesTask,getDependencies,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependencyLicensesTask,setDependencies,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependencyLicensesTask,getLicensesDir,6,2,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependencyLicensesTask,setLicensesDir,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependencyLicensesTask,ignoreSha,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependencyLicensesTask,checkDependencies,44,12,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependencyLicensesTask,getOutputMarker,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependencyLicensesTask,failIfAnyMissing,5,2,3
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependencyLicensesTask,checkDependencies,16,3,4
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependencyLicensesTask,validateSha,11,3,4
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependencyLicensesTask,joinFilenames,4,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependencyLicensesTask,getDependencyName,13,3,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependencyLicensesTask,checkSha,14,3,3
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependencyLicensesTask,checkFile,7,2,4
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependencyLicensesTask,getFileName,7,2,3
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependencyLicensesTask,getMappings,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependencyLicensesTask,getShaFile,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependencyLicensesTask,getShaFiles,7,2,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependencyLicensesTask,getSha1,6,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,Fixture,getStopTask,0,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LazyFileOutputStream,LazyFileOutputStream,17,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LazyFileOutputStream,bootstrap,4,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LazyFileOutputStream,write,4,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LazyFileOutputStream,write,4,1,3
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LazyFileOutputStream,write,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LazyFileOutputStream,write,3,1,3
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LazyFileOutputStream,close,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseAnalyzer,licenseType,9,3,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseAnalyzer,LicenseInfo,5,1,3
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseAnalyzer,getIdentifier,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseAnalyzer,isSpdxLicense,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseAnalyzer,isSourceRedistributionRequired,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseAnalyzer,LicenseMatcher,6,1,4
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseAnalyzer,getIdentifier,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseAnalyzer,matches,9,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseInfo,LicenseInfo,5,1,3
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseInfo,getIdentifier,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseInfo,isSpdxLicense,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseInfo,isSourceRedistributionRequired,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseMatcher,LicenseMatcher,6,1,4
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseMatcher,getIdentifier,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseMatcher,matches,9,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,LicenseHeadersTask,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,getJavaFiles,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,getSourceFolders,0,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,getReportFile,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,setReportFile,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,getApprovedLicenses,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,setApprovedLicenses,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,getExcludes,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,getAdditionalLicenses,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,setExcludes,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,additionalLicense,6,2,3
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,runRat,31,3,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,subStringMatcher,9,1,3
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,generateReport,10,1,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,toXmlReportFile,14,3,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,unapprovedFiles,9,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,elementList,7,2,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LoggedExec,LoggedExec,22,3,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LoggedExec,execute,12,2,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LoggedExec,setSpoolOutput,32,3,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LoggedExec,exec,3,1,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LoggedExec,javaexec,3,1,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LoggedExec,genericExec,32,3,2
