Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,ConcatFilesTask,3,0,9,9,49,12,0,0,0.2222222222222222,0,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependenciesInfoPlugin,0,0,1,1,16,1,0,0,-1.0,0,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependenciesInfoTask,5,0,15,12,114,20,0,0,0.13333333333333333,1,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,DependencyLicensesTask,7,0,20,10,205,47,0,0,0.15,3,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,Fixture,0,0,1,0,9,1,0,0,-1.0,0,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LazyFileOutputStream,1,0,7,5,32,7,0,0,0.0,0,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseAnalyzer,8,0,8,7,55,10,0,0,0.0,2,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseInfo,3,0,4,4,19,4,0,0,0.0,0,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseMatcher,4,0,3,2,24,3,0,0,0.0,0,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LicenseHeadersTask,4,0,17,12,141,23,0,0,0.17647058823529413,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,LoggedExec,4,0,7,6,104,14,0,0,0.5714285714285714,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,UpdateShasTask,2,0,5,4,42,8,0,0,0.0,0,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools,Util,1,0,12,12,121,23,0,0,0.6666666666666666,2,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,BuildParams,10,0,23,20,103,24,0,0,0.5652173913043478,3,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,MutableBuildParams,1,0,11,10,47,11,0,0,1.0,2,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,8,0,22,5,301,50,0,0,0.3181818181818182,2,5
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GitInfo,2,0,3,2,14,3,0,0,0.0,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,JavaHome,2,0,4,3,17,4,0,0,0.0,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,12,0,51,36,311,63,0,0,0.11764705882352941,1,5
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariant,7,0,17,17,85,20,0,0,0.0,2,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPluginExtension,3,0,16,16,66,19,0,0,0.25,1,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,ScalaRuntimeCapability,1,0,1,1,20,3,0,0,0.0,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.util,ConfigureUtil,1,0,6,4,38,9,0,0,0.0,2,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.util,WrappedConfigureAction,1,0,3,2,12,3,0,0,0.0,0,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.util,Resources,0,0,1,1,22,3,0,0,-1.0,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.util,WaitForURL,6,0,12,10,124,20,0,0,0.4166666666666667,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.util,TrustAllManager,0,0,3,3,9,3,0,0,-1.0,0,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.util,TrustAllVerifier,0,0,1,1,5,1,0,0,-1.0,0,0
elasticsearch-hadoop,org.elasticsearch.hadoop.integration.hive,AbstractHiveExtraTests,0,0,4,4,48,5,0,0,-1.0,0,3
elasticsearch-hadoop,org.elasticsearch.hadoop.integration.hive,AbstractHiveReadJsonTest,5,1,13,10,102,17,0,0,0.15384615384615385,1,9
elasticsearch-hadoop,org.elasticsearch.hadoop.integration.hive,AbstractHiveSaveJsonTest,1,0,16,13,153,17,0,0,0.25,0,7
elasticsearch-hadoop,org.elasticsearch.hadoop.integration.hive,AbstractHiveSaveTest,1,0,35,32,281,35,0,0,0.08571428571428572,0,6
elasticsearch-hadoop,org.elasticsearch.hadoop.integration.hive,AbstractHiveSearchJsonTest,5,1,16,13,154,22,0,0,0.125,1,11
elasticsearch-hadoop,org.elasticsearch.hadoop.integration.hive,AbstractHiveSearchTest,5,1,25,22,233,29,0,0,0.0,1,10
elasticsearch-hadoop,org.elasticsearch.hadoop.integration.hive,HiveEmbeddedServer2,7,0,18,12,198,33,0,1,0.3333333333333333,2,9
elasticsearch-hadoop,org.elasticsearch.hadoop.integration.hive,InterceptingThreadLocal,0,0,1,1,6,1,0,0,-1.0,0,1
elasticsearch-hadoop,org.elasticsearch.hadoop.integration.hive,DummyHiveAuthenticationProvider,1,0,6,6,19,6,0,0,0.8333333333333334,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.integration.hive,HiveInstance,0,0,3,0,5,3,2,0,-1.0,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.integration.hive,HiveJdbc,4,0,4,4,51,8,0,1,0.0,0,0
